0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
566.0,242.7201,0.0,256.8005,259.3921,38.3947,389.4857,0.0,218.8086,566.0,221.3104,566.0,136.9672,566.0,146.7762,0.0,566.0,380.81300000000005,0.0,0.0,566.0,501.0167,566.0,566.0,432.3073,0.0,49.8784,120.7311,566.0,223.9119,0.0,339.0521,99673.7749,99818.5455,92560.3151,101547.0259,87120.3949,86831.5521,91895.1102,81504.4486,91578.0081,106481.1471,87712.442,102881.3703,83752.9344,98636.6031,92597.7769,92665.3673,1497256.8159999999
566.0,524.3464,39.8202,0.0,392.6546,418.4686,537.2881,163.916,129.3864,170.6737,0.0,528.4538,367.0,31.7611,97.7522,566.0,503.244,93.8467,301.482,38.2469,470.7849,345.9576,341.5761,0.0,104.1121,152.4531,566.0,554.5548,0.0,390.793,483.5504,43.5776,96326.3298,95628.8063,91461.8608,92693.49900000001,89022.2331,92527.7022,99861.4713,98598.8711,90741.521,89703.7092,87678.8533,88273.10699999999,101623.2294,89206.1536,85482.6748,106121.64,1494951.6619999998
125.625,436.2198,0.0,22.9972,275.7852,12.9378,565.3438,393.2496,379.1677,114.598,501.0437,202.1863,557.6805,262.6,468.2588,431.9828,430.722,277.3869,27.6552,240.7667,549.6825,555.5298,48.1571,438.0745,110.4097,276.3983,483.8562,0.0,148.2483,250.7986,566.0,0.0,87496.6521,97622.92599999999,95254.8398,87238.1411,85463.396,86786.6571,104579.31300000001,92695.80900000001,93051.9692,86384.2453,95497.04400000001,98788.9905,99582.1632,93635.1717,92160.6777,103269.4224,1499507.418
550.8809,58.3279,196.7162,374.2361,342.3285,438.7747,0.0,159.3687,166.183,511.0842,79.4391,49.7482,0.0,489.0713,566.0,24.3941,537.9069,121.0451,566.0,517.7222,375.1155,0.0,76.8518,132.3686,471.2753,77.0665,55.2978,559.7832,248.6439,1.5135,238.0206,293.8132,97564.6483,83694.0257,86157.8887,91238.2924,95892.0048,94391.3931,86464.3583,91502.549,88150.6973,98023.8137,97742.7144,84587.862,90198.8958,104742.6897,102248.9064,85778.9904,1478379.73
186.2634,26.719,12.5289,454.31699999999995,528.384,38.7837,556.3032,21.0299,566.0,0.0,442.2885,536.77,0.0,299.1383,304.7692,281.7015,31.6747,477.1034,373.4279,544.3687,230.5644,236.1837,545.1384,4.217,0.3117,566.0,37.6428,402.1891,104.3853,274.0243,138.7593,510.461,99140.9553,88203.2057,91004.6001,89209.7585,100731.2463,90183.8581,96738.9647,97160.5628,106608.7508,89098.1737,100132.4075,97710.8911,91107.6894,92195.2872,95891.9741,88115.8729,1513234.198
566.0,309.4044,76.5347,238.4234,444.4438,416.4387,443.7509,95.4062,566.0,288.3409,566.0,0.0,337.0115,499.35,0.0,426.9046,181.4079,337.0307,566.0,566.0,345.6558,80.6179,444.0243,174.2978,396.48,287.8027,326.5374,334.3783,400.5137,0.0,391.4285,260.6804,102098.1136,78251.0016,85152.3619,91082.1829,85871.6558,101002.5062,83838.3781,95064.2643,93583.3478,87700.5852,100583.5458,86618.8752,75326.003,106470.8414,80047.3024,97300.6433,1449991.6090000002
535.2611,319.7732,4.8660000000000005,86.351,384.5408,566.0,0.0,256.4864,0.0,223.4856,366.0724,79.4921,421.8922,367.0287,209.7492,140.5441,137.1561,173.8275,307.2153,428.7929,247.4128,468.5615,116.0074,242.9956,359.348,566.0,135.5633,127.1098,0.0,297.9617,512.3378,133.6797,103514.102,89258.1119,89080.2678,84876.5913,94281.1893,95977.5234,87202.1812,81711.602,81360.9549,87672.7389,101208.8965,85029.9934,106890.6776,87866.0138,90539.4269,89953.8464,1456424.1169999999
484.6827,277.2026,0.0,566.0,354.4284,526.1117,1.8633,361.1763,319.9695,451.7589,72.5926,185.482,3.6988,494.519,555.6463,99.7518,534.1709999999999,37.7646,542.3377,486.6604,380.6136,0.0,0.0,49.8158,518.1593,261.4113,250.2958,518.0014,333.0918,50.9148,234.5735,321.4175,88253.1429,93086.3307,85605.2106,98483.8668,95233.9508,107439.4957,97222.3319,94278.049,87572.4421,92126.186,94353.9783,84595.1607,83662.8441,98257.6225,99717.9491,86833.1204,1486721.6819999998
233.0959,451.9428,276.6457,402.2551,304.4519,0.0,226.7897,375.8054,382.14099999999996,89.8908,491.4857,161.7142,551.3380000000001,566.0,323.8186,0.0,216.2062,205.5702,312.2418,410.0353,48.3596,307.3517,53.5446,326.2149,140.9988,543.0491,376.8956,557.2686,446.9712,522.2143,442.9635,399.2681,94314.0785,99691.5077,85033.4059,81574.3441,106458.245,86718.3899,95723.3686,92623.067,99226.3375,80198.7847,97333.7103,84577.0913,96162.0787,92063.1766,77793.673,84045.0443,1453536.303
393.0836,565.6854,62.9686,198.5006,450.2103,565.6854,116.1181,473.3478,558.4376,466.8582,528.1266,558.8108,43.6979,204.2979,145.2005,87.5783,557.7754,70.3828,76.3941,547.1598,443.9145,483.0252,328.4448,172.5314,334.1972,556.6919,127.1617,554.6188,175.7035,114.7011,115.4189,565.6854,80173.6385,106534.8969,94449.7576,84415.31199999999,91691.0898,97839.2982,89926.7654,94889.6821,98458.7809,82488.7008,100912.0587,92485.7706,87539.9016,95053.3046,87573.4239,83392.7614,1467825.1430000002
