0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8.0,0.0,2572.0,403.0,348.0,7.2,2.4,190992.0,15889.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,359.6,512.2,1.4,1477.0,1745970.0,79.0
3.0,1.0,3662.0,256.0,187.0,1.8,3.79,360623.0,160015.0,19.76,27.35,55.49,95.01,8.38,7.19,10.98,117.17,202.99,3.2,159.0,989493.0,80.0
4.0,3.0,2809.0,242.0,129.0,0.6,0.6,110125.0,35179.0,4.97,9.94,14.51,21.87,1.39,6.76,6.76,51.29,111.33,2.0,222.0,1093338.0,88.0
1.0,0.0,996.0,291.0,203.0,1.2,3.6,100026.0,47886.0,1.0,1.2,1.2,0.0,0.0,0.2,0.4,50.2,99.2,4.2,209.0,1712002.0,93.0
199.0,186.0,7625.0,779.0,485.0,3.4,3.6,292564.0,190527.0,3.2,12.8,24.0,34.8,1.2,9.0,23.6,134.6,280.4,3.4,154.0,1337360.0,73.0
29.0,2.0,5239.0,707.0,550.0,9.2,12.6,613648.0,72642.0,7.2,29.8,70.2,143.0,2.6,36.6,45.6,550.4,851.8,10.4,235.0,1284782.0,58.0
1.0,0.0,5527.0,192.0,147.0,0.2,0.2,265066.0,88570.0,4.78,9.56,25.1,58.37,3.19,12.75,20.52,16.14,138.45,1.5,126.0,1010410.0,89.0
4.0,3.0,2000.0,107.0,68.0,0.6,2.0,23644.0,17392.0,1.6,1.6,1.6,0.0,0.8,1.2,1.6,29.0,49.6,1.5,205.0,1015739.0,94.0
1.0,0.0,2332.0,146.0,144.0,0.2,0.2,12285.0,64453.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,21.2,53.8,1.0,731.0,1061085.0,93.0
3.0,1.0,2072.0,205.0,237.0,0.4,2.99,149830.0,441850.0,4.99,7.39,16.17,36.33,0.8,26.15,32.73,67.07,122.16,2.4,174.0,1370778.0,85.0
