0,1,2,3,4,5,6,7,8
-120.3,38.9,11,1961,435,113,53,0.9227,95500
-120.38,34.96,9,2813,492,1144,490,4.0431,226800
-118.32,34.0,50,3250,693,2300,675,1.95,112600
-118.4,34.06,52,1871,326,646,284,8.2961,500001
-116.88,34.19,38,898,259,106,52,1.6875,225000
-116.21,33.68,34,584,176,625,166,1.5809,100000
-117.63,33.65,10,3580,491,1688,467,7.7814,288700
-118.24,33.93,19,325,74,354,87,2.75,90600
-122.29,38.4,28,2024,340,844,309,4.7833,361100
-117.84,33.84,23,4388,864,2526,846,4.5217,219400
-121.28,38.55,35,7088,1279,4885,1272,2.6981,112500
-118.01,34.09,29,3402,747,2331,690,3.6094,179200
-117.99,33.9,33,2161,383,1235,383,5.6454,202800
-122.39,37.72,28,1609,340,1064,290,1.1125,206300
-117.05,33.01,19,3558,588,1439,578,4.625,211100
-118.09,33.77,26,5359,1508,1829,1393,1.7675,61300
-118.22,33.83,44,1792,404,1115,358,3.9091,174400
-118.13,33.9,36,1477,305,788,291,3.625,195800
-121.28,38.59,3,4188,1136,2081,995,3.0481,92500
-117.64,33.63,10,4814,643,1808,588,8.798,436600
-120.97,37.69,14,5514,909,2819,970,3.8598,174400
-118.0,33.93,24,4534,967,2547,895,3.9575,215400
-122.32,37.95,37,1887,353,895,359,4.45,196600
-119.96,38.93,22,2731,632,1215,483,2.83,110500
-117.64,34.05,27,1407,362,1684,350,2.1944,95700
-121.33,38.0,32,4474,929,2177,884,3.2889,98900
-120.83,35.33,14,4155,787,2112,755,4.4766,192700
-118.02,34.14,31,6854,1578,4131,1524,3.5878,222800
-122.43,37.75,52,3521,767,1415,687,4.875,362200
-118.35,33.9,13,2887,853,2197,800,2.8777,207900
-121.24,38.01,22,1526,299,790,300,2.4342,125000
-122.17,37.72,5,1692,398,814,328,3.6630000000000003,158300
-118.19,33.78,8,992,393,694,331,2.5544,162500
-122.42,40.6,5,2614,433,1275,411,3.4464,122900
-121.32,38.41,17,4401,655,1970,639,5.8239,247500
-121.84,36.61,15,2190,586,1570,510,1.875,122300
-117.75,34.07,52,1548,348,1131,343,2.63,127300
-122.01,36.97,43,2162,509,1208,464,2.5417,260900
-117.68,33.55,5,2262,427,1016,402,6.065,315500
-119.19,34.17,27,2183,364,1458,388,4.4567,191100
-118.88,35.34,20,1351,255,762,253,2.1111,105300
-118.26,33.78,27,1672,491,1723,462,2.0458,174500
-121.43,38.53,36,2430,426,1199,437,3.1667,81900
-119.25,35.75,36,1598,443,1658,417,1.517,52100
-121.19,40.23,10,1572,232,247,104,5.8453,193800
-124.13,40.55,38,544,89,240,91,3.25,94800
-118.2,33.99,35,1608,465,2140,488,3.1979,154700
-122.07,37.38,26,1272,306,562,284,4.5644,280200
-119.64,36.33,41,3095,766,1852,721,1.4524,51700
-117.98,33.72,28,3109,561,1891,562,5.2655,243100
-117.58,33.89,14,1731,404,1269,351,2.3654,107900
-124.1,40.5,30,1927,393,996,374,2.2357,72300
-119.77,37.19,8,5212,872,2383,857,4.1099,113600
-121.54,38.5,15,6093,1051,2415,997,4.2075,183600
-118.26,33.95,38,1387,346,1240,355,1.6898,95100
-117.09,32.65,25,3509,985,2359,899,2.6296,150000
-117.52,33.89,2,17978,3217,7305,2463,5.1695,220800
-122.42,37.62,39,1355,214,682,246,6.3443,324700
-122.2,37.78,45,1766,332,869,327,4.5893,163500
-117.64,33.48,12,2007,397,1033,373,5.6754,275900
-122.21,37.79,45,2115,533,1530,474,2.4167,139400
-118.22,33.94,42,1046,287,1218,289,2.6538,143400
