0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2.09,6.0,6420.0,1350.0,6730.0,24.2,24.2,602.0,288.0,569.0,1.31,0.998,7.15,1.02,20.1,0.266,0.996,0.98
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1080.0,288.0,783.0,4.48,0.998,22.2,1.05,89.3,1.77,0.958,1.0
7.15,21.0,39000.0,2680.0,9120.0,332.0,332.0,812.0,288.0,686.0,2.98,0.998,15.5,1.04,43.1,0.853,0.985,0.9940000000000001
7.15,21.0,39000.0,2680.0,9120.0,332.0,332.0,828.0,288.0,689.0,2.98,0.998,15.7,1.04,44.4,0.879,0.983,0.9790000000000001
1.14,3.0,800.0,1370.0,6690.0,8.82,8.82,470.0,288.0,551.0,1.12,0.998,6.04,1.02,0.0,0.086,0.958,0.98
3.14,9.0,8380.0,1390.0,7060.0,60.3,60.3,589.0,288.0,581.0,1.39,0.998,7.55,1.02,12.4,0.24600000000000002,0.978,0.98
3.14,9.0,8380.0,1390.0,7160.0,60.4,60.4,585.0,288.0,583.0,1.39,0.998,7.41,1.02,12.2,0.242,0.955,0.998
3.14,9.0,8380.0,1390.0,7070.0,60.3,60.3,580.0,288.0,578.0,1.39,0.998,7.5,1.02,12.1,0.239,0.9840000000000001,0.988
5.14,15.0,21600.0,1920.0,8450.0,175.0,175.0,702.0,288.0,633.0,2.09,0.998,11.2,1.03,25.0,0.495,0.998,0.9790000000000001
9.3,27.0,72800.0,3560.0,9740.0,645.0,645.0,1060.0,288.0,772.0,4.54,0.998,22.8,1.05,87.9,1.74,0.993,0.987
6.18,18.0,29800.0,2310.0,8800.0,246.0,246.0,781.0,288.0,668.0,2.51,0.998,13.4,1.03,34.7,0.688,0.98,0.978
1.14,3.0,2760.0,1310.0,6670.0,5.36,5.36,542.0,288.0,557.0,1.18,0.998,6.35,1.02,31.1,0.198,0.9670000000000001,0.997
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,661.0,288.0,614.0,1.66,0.998,9.01,1.02,18.1,0.358,0.951,0.975
9.3,27.0,72800.0,3560.0,9750.0,645.0,645.0,1060.0,288.0,774.0,4.52,0.998,22.6,1.05,88.2,1.75,0.9840000000000001,0.991
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,698.0,288.0,636.0,2.08,0.998,11.0,1.03,24.6,0.486,0.97,0.9990000000000001
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,580.0,288.0,580.0,1.39,0.998,7.43,1.02,12.0,0.23800000000000002,0.97,0.996
1.14,3.0,5010.0,1360.0,6620.0,8.07,8.07,582.0,288.0,561.0,1.27,0.998,6.83,1.02,13.0,0.23800000000000002,1.0,0.99
2.09,6.0,5880.0,1350.0,6810.0,23.3,23.3,608.0,288.0,575.0,1.29,0.998,7.05,1.02,22.7,0.264,0.956,0.9790000000000001
4.16,12.0,14700.0,1550.0,7730.0,114.0,114.0,647.0,288.0,607.0,1.66,0.998,9.03,1.02,17.5,0.34700000000000003,0.9790000000000001,0.976
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,775.0,288.0,671.0,2.5,0.998,13.1,1.03,34.1,0.6759999999999999,0.955,0.996
8.21,24.0,51000.0,3090.0,9300.0,438.0,438.0,923.0,288.0,729.0,3.6,0.998,18.7,1.04,60.6,1.2,0.987,0.9790000000000001
2.09,6.0,3140.0,1350.0,6720.0,23.4,23.4,512.0,288.0,556.0,1.21,0.998,6.55,1.02,17.4,0.153,0.997,0.9790000000000001
4.16,12.0,14700.0,1550.0,7770.0,114.0,114.0,634.0,288.0,605.0,1.66,0.998,8.87,1.02,16.9,0.33399999999999996,0.976,0.993
8.21,24.0,51000.0,3090.0,9310.0,438.0,438.0,911.0,288.0,730.0,3.58,0.998,18.2,1.04,59.2,1.17,0.975,0.998
