0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.32,61.3,57.0,4.41,4.43,2.71,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,421
1.5,65.3,57.0,7.15,7.09,4.65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7056
0.9,63.7,57.0,6.09,6.02,3.86,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4592
1.51,62.1,58.0,7.4,7.36,4.58,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8524
1.03,62.5,54.0,6.46,6.5,4.05,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4382
0.32,63.4,56.0,4.34,4.37,2.76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,645
0.8,62.0,59.0,5.91,5.96,3.68,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2699
1.51,62.7,55.0,7.37,7.28,4.59,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7766
0.44,61.3,55.0,4.92,4.94,3.02,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1143
0.32,61.2,62.0,4.41,4.45,2.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,602
2.03,60.0,57.0,8.32,8.2,4.96,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13182
0.32,61.4,56.0,4.42,4.47,2.73,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,756
1.02,61.4,58.0,6.43,6.46,3.96,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10580
0.51,60.5,63.0,5.17,5.11,3.11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1781
2.05,60.4,58.0,8.21,8.27,4.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15857
0.71,62.7,57.0,5.7,5.75,3.59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3212
0.35,60.1,61.0,4.56,4.59,2.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,644
0.91,62.0,59.0,6.19,6.22,3.85,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3238
0.56,61.6,56.0,5.29,5.33,3.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1691
0.56,62.0,56.0,5.27,5.31,3.28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1224
0.73,60.9,65.0,5.86,5.69,3.51,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2085
0.3,61.1,61.0,4.29,4.32,2.63,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,682
0.43,61.5,56.0,4.86,4.9,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1358
0.32,62.1,55.0,4.42,4.4,2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,900
1.23,62.8,59.0,6.75,6.82,4.26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4960
0.54,61.2,55.0,5.31,5.25,3.23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2323
1.02,61.4,60.0,6.44,6.49,3.97,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4521
1.24,62.1,58.0,6.85,6.96,4.29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5783
0.72,58.9,58.0,5.88,5.91,3.47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2646
0.38,61.3,55.0,4.67,4.69,2.87,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,568
0.7,64.9,58.0,5.46,5.59,3.59,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2035
1.0,59.8,57.0,6.5,6.44,3.87,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4200
0.33,61.0,54.0,4.49,4.52,2.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,741
1.2,60.7,60.0,6.88,6.82,4.16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6250
0.3,61.9,55.0,4.32,4.31,2.67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,776
0.41,62.7,57.0,4.77,4.74,2.98,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,961
0.57,61.8,55.0,5.31,5.37,3.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1292
0.7,67.8,60.0,5.5,5.39,3.69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2381
0.7,63.4,60.0,5.61,5.59,3.55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2415
0.75,61.7,55.0,5.9,5.86,3.63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2609
0.31,61.7,55.0,4.37,4.38,2.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,462
1.05,58.9,66.0,6.71,6.6,3.92,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4281
0.32,61.6,55.0,4.43,4.46,2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,898
1.01,63.4,56.0,6.32,6.37,4.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9642
0.7,62.1,58.0,5.66,5.7,3.53,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2106
0.51,62.4,58.0,5.07,5.13,3.18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1220
1.35,61.0,60.0,7.09,7.15,4.34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6041
0.34,60.7,60.0,4.48,4.51,2.73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,596
1.0,62.8,59.0,6.34,6.3,3.97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4200
0.73,61.6,56.0,5.77,5.82,3.57,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3487
0.31,61.3,56.0,4.38,4.4,2.69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,865
0.52,61.8,54.0,5.17,5.19,3.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,950
0.42,63.1,57.0,4.76,4.78,3.01,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,700
0.5,61.4,59.0,5.13,5.09,3.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1746
0.73,62.5,58.0,5.74,5.82,3.61,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1298
0.31,62.6,58.0,4.33,4.29,2.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,907
0.38,61.9,58.0,4.66,4.62,2.87,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1069
1.0,65.3,58.0,6.25,6.18,4.06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4312
0.53,61.9,56.0,5.19,5.21,3.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1721
1.25,64.4,58.0,6.82,6.71,4.36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3990
0.54,62.1,56.0,5.18,5.22,3.23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1163
1.01,62.7,56.0,6.37,6.42,4.01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5457
1.09,59.2,63.0,6.67,6.71,3.96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4244
0.51,62.0,54.0,5.13,5.1,3.17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1662
0.4,59.7,58.0,4.83,4.79,2.87,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1080
0.46,62.2,54.7,4.95,4.97,3.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,893
1.62,60.8,56.0,7.56,7.61,4.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11152
0.3,61.7,62.0,4.18,4.21,2.59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,632
1.0,62.3,58.0,6.38,6.33,3.96,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3136
1.01,62.6,58.0,6.33,6.36,3.97,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6221
1.12,62.1,57.0,6.63,6.6,4.11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6322
0.28,61.1,56.0,4.25,4.27,2.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,522
1.27,63.2,56.0,6.92,6.88,4.36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6162
0.71,65.7,56.0,5.51,5.54,3.63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2274
0.3,63.6,55.0,4.27,4.31,2.73,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,605
1.62,62.7,56.0,7.44,7.51,4.69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15246
1.16,62.2,58.0,6.75,6.68,4.18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4326
0.56,61.9,57.0,5.25,5.29,3.26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1212
0.53,60.3,56.0,5.25,5.3,3.18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1335
0.5,57.7,62.0,5.22,5.18,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,926
0.51,66.5,58.0,4.95,4.89,3.27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1109
0.34,62.1,56.0,4.45,4.47,2.77,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,686
0.33,61.1,59.0,4.44,4.4,2.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,594
0.33,62.1,59.0,4.45,4.4,2.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,854
0.7,60.0,55.0,5.73,5.77,3.45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2287
1.21,61.9,58.0,6.76,6.81,4.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5739
0.44,61.5,56.0,4.9,4.92,3.02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1081
1.01,64.6,60.0,6.34,6.22,4.06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6353
0.3,60.4,58.0,4.3,4.34,2.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,658
1.0,62.2,61.0,6.41,6.38,3.98,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7822
0.34,61.3,57.0,4.44,4.5,2.74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,626
0.89,62.4,56.0,6.04,6.08,3.78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3429
2.15,58.9,58.0,8.46,8.41,4.97,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15751
0.9,62.8,58.0,6.14,6.09,3.84,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4137
1.24,60.8,56.0,6.92,6.96,4.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8257
0.42,62.1,54.0,4.81,4.84,2.99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,755
1.18,60.9,56.0,6.8,6.85,4.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7439
