0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
374,23,0.1,0.02,-0.3,-8,-3,0.002,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.019
-39,-42,-0.22,0.0,0.5,-6,-1,-0.025,0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.016
57,-61,0.1,-0.11,1.2,-6,18,-0.008,-0.6,-0.0004,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.016
-393,-21,-0.28,0.22,1.0,-14,-16,-0.019,0.1,-0.0011,-0.0012,-0.0012,-0.0012,0.0001,0.0,0.0,0.0,-0.0012,0.02
-380,-5,-0.24,0.11,-0.5,-16,2,-0.004,0.0,-0.0013,-0.0014,-0.0014,-0.0014,0.0001,0.0,0.0,0.0,-0.0014,0.028999999999999998
-185,-18,-0.39,0.0,-0.9,-15,6,-0.008,1.4,-0.0009,-0.0011,-0.0011,-0.0011,0.0002,0.0,0.0,0.0,-0.0011,0.019
-298,16,0.13,0.01,1.3,-12,1,0.006,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,0.02
220,-22,0.13,-0.03,-0.7,-7,4,0.002,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.018000000000000002
134,-63,0.13,0.01,-0.4,-18,20,0.023,-0.6,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.022000000000000002
175,-45,-0.19,0.04,-0.7,-19,12,0.015,-0.1,-0.001,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,0.025
-318,15,-0.22,0.18,-1.2,-17,-2,-0.013999999999999999,0.2,-0.0019,-0.0019,-0.0019,-0.0019,0.0,0.0,0.0,0.0,-0.0019,0.033
-277,-10,0.1,0.09,0.3,-12,-5,0.008,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.022000000000000002
352,-30,-0.31,-0.14,1.8,-5,12,-0.008,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.028999999999999998
330,-12,0.52,0.15,-0.4,-12,-12,0.01,1.1,-0.0006,-0.0005,-0.0005,-0.0005,-0.0002,0.0,0.0,0.0,-0.0005,0.024
-88,-28,0.23,0.01,-0.4,-6,1,0.002,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.016
24,-9,0.59,0.17,0.1,-16,-6,0.021,-0.2,-0.001,-0.0007,-0.0007,-0.0006,-0.0004,0.0,-0.0002,0.0,-0.0006,0.026000000000000002
341,-31,-0.4,-0.15,0.5,-12,20,-0.012,-0.1,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,0.03
211,-5,0.01,-0.09,-0.4,-6,10,0.007,0.0,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.019
-237,26,-0.16,0.32,1.3,-5,-32,-0.013999999999999999,-0.4,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.018000000000000002
-253,-67,-0.17,-0.09,-0.6,-15,23,-0.009,-0.2,-0.0008,-0.001,-0.001,-0.0011,0.0002,0.0,0.0001,0.0,-0.0011,0.013999999999999999
-82,-9,0.62,0.18,1.3,-15,-6,-0.012,-0.1,-0.0016,-0.0016,-0.0016,-0.0016,0.0,0.0,0.0,0.0,-0.0016,0.034
84,-11,-0.02,0.15,-0.2,-10,-11,0.015,-0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.021
150,-14,0.3,0.05,0.9,-6,-6,-0.01,-0.6,-0.0006,-0.0005,-0.0005,-0.0005,-0.0002,0.0,0.0,0.0,-0.0005,0.018000000000000002
-214,-17,-0.19,-0.09,2.2,-7,-6,-0.017,2.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.015
95,9,0.46,0.27,-0.8,-12,-18,-0.006,-1.1,-0.0009,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,0.027999999999999997
277,-16,-0.11,0.02,-1.3,-17,12,0.023,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.02
64,2,0.24,0.11,0.2,-12,-5,0.003,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.023
310,43,0.16,0.15,1.0,-5,-15,-0.002,-0.5,-0.0004,-0.0003,-0.0003,-0.0003,-0.0001,0.0,0.0,0.0,-0.0003,0.021
-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,0.027999999999999997
174,-2,-0.2,-0.06,-0.4,-7,5,-0.008,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.017
224,-17,-0.1,-0.06,-0.4,-6,8,0.006,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.018000000000000002
262,10,-0.07,0.02,-0.5,-7,0,0.0,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.019
73,58,-0.1,0.13,-0.8,-9,-9,0.004,-1.6,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018000000000000002
16,-39,0.07,0.14,-0.2,-14,0,-0.001,-0.4,-0.0022,-0.0022,-0.0022,-0.0022,0.0,0.0,0.0,0.0,-0.0022,0.059000000000000004
122,-15,-0.37,0.14,-1.7,-21,7,0.015,-0.4,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.022000000000000002
