0,1,2,3,4,5,6,7,8,9,10,11,12
435.368,480,13049,1820857,23973807,0,25794664,56000,12,320,240,34240,1.168
256.20834,176,3074,302900,1540700,0,1843600,109000,15,1920,1080,219480,2.472
239.14166,480,5978,1406751,13545526,0,14952277,109000,12,1280,720,99504,9.325
273.816,1920,6843,6190779,47579961,0,53770740,5000000,12,176,144,219656,5
750.433,1280,10112,3852576,70635013,0,74487589,3000000,25,1280,720,165700,7.86
860.056,1280,25773,12989828,276022270,0,289012098,5000000,24,1920,1080,262784,87.653
204.938,480,3280,1451634,6166260,0,7617894,3000000,25,1280,720,90560,2.156
37.011665,1280,1109,1899633,10866846,0,12766479,539000,29.97,320,240,219480,5.768
476.957,1280,14305,3487520,79210885,0,82698405,109000,12,480,360,165696,5.464
391.08,640,9778,9023743,2261252,0,11284995,56000,25,320,240,219480,2.488
143.03334,176,1716,56405,856907,0,913312,820000,25,176,144,219656,3.34
77.233,480,2318,182297,3510033,0,3692330,3000000,29.97,1280,720,219480,14.157
326.583,640,8163,1868804,41239444,0,43108248,820000,29.97,1280,720,322728,47.763
110.966995,480,3330,529627,4978664,0,5508291,3000000,25,176,144,216820,3.216
64.933,320,975,318954,1603007,0,1921961,3000000,25,1920,1080,609192,106.583
42.2,480,1056,216154,1306770,0,1522924,5000000,15,1920,1080,216820,8.165
39.055,1920,1170,839251,28416939,0,29256190,539000,29.97,640,480,216020,9.557
52.68,480,1318,870136,1579497,0,2449633,5000000,15,320,240,155028,11.205
581.233,480,17438,10151572,11352574,0,21504146,820000,12,320,240,218932,2.548
86.486,640,2593,819680,3029350,0,3849030,56000,12,640,480,219656,4.364
167.39166,1280,4017,4369420,41819887,0,46189307,109000,15,640,480,219656,4.332
458.625,640,13746,5308581,24350943,0,29659524,3000000,24,1280,720,341356,37.018
326.58832,1920,7830,16603953,228322925,0,244926878,820000,29.97,176,144,218932,8.677
316.95166,176,3803,111850,2082902,0,2194752,3000000,25,320,240,165700,5.352
476.957,1280,14305,3487520,79210885,0,82698405,5000000,15,640,480,165700,3.128
440.967,320,13230,2444863,13079542,0,15524405,242000,29.97,640,480,219656,4.76
714.371,1280,21407,14532530,43720516,0,58253046,3000000,24,640,480,164888,5.888
69.93833,176,839,47521,448322,0,495843,3000000,29.97,640,480,221152,3.532
239.14166,480,5978,1406751,13545526,0,14952277,109000,12,320,240,94608,1.52
286.995,480,6882,2285153,15944803,0,18229956,820000,29.97,320,240,216820,9.257
95.462,640,2862,886496,8770159,0,9656655,109000,25,640,480,221160,1.78
255.28,320,6382,611474,7374864,0,7986338,242000,15,1280,720,307432,21.293
906.5983,176,10879,597549,5760936,0,6358485,56000,15,320,240,165668,0.964
311.1,176,3733,127552,2066350,0,2193902,5000000,15,480,360,221160,2.004
286.995,480,6882,2285153,15944803,0,18229956,242000,12,320,240,216820,3.388
473,320,11826,1419320,8047423,0,9697521,5000000,15,320,240,220900,0.772
98.683334,176,1184,48267,636993,0,685260,56000,12,176,144,218136,0.828
222.53334,480,6676,2821722,11099102,0,13920824,242000,24,320,240,217348,4.616
95.462,640,2862,886496,8770159,0,9656655,820000,25,1920,1080,221160,6.492
645.84,320,16146,1081321,6660941,0,7742262,242000,25,1920,1080,219200,5.46
311.1,176,3733,127552,2066350,0,2193902,5000000,15,1920,1080,221160,15.177
98.683334,176,1184,48267,636993,0,685260,3000000,12,640,480,218192,6.856
473,320,11826,1419320,8047423,0,9697521,242000,29.97,480,360,219656,3.972
131.76,640,3294,945865,778937,0,1724802,109000,15,176,144,221152,1.388
250.017,320,7494,856855,3926589,0,4783444,242000,24,176,144,218900,2.668
340.424,320,4081,1168939,9234909,0,10403848,3000000,15,1920,1080,221152,3.304
67.583336,176,792,47585,385164,0,432749,109000,24,1920,1080,633460,28.826
581.233,480,17438,10151572,11352574,0,21504146,109000,15,1280,720,218932,4.468
49.178333,176,344,33046,300986,0,334032,5000000,12,480,360,221160,1.368
34.168,480,1021,238485,559745,0,798230,109000,12,320,240,165700,2.048
273.816,1920,6843,6190779,47579961,0,53770740,242000,12,1920,1080,648084,29.81
37.011665,1280,1109,1899633,10866846,0,12766479,3000000,12,640,480,219480,15.309
384.451,640,11523,2839955,28225248,0,31065203,56000,12,320,240,217568,3.224
282.56,640,7065,4966509,14806840,0,19773349,109000,24,1280,720,332236,16.609
340.424,320,4081,1168939,9234909,0,10403848,5000000,29.97,176,144,221152,1.356
176.901,480,4420,393395,202954,0,596349,242000,24,320,240,218932,0.704
77.233,480,2318,182297,3510033,0,3692330,539000,29.97,480,360,219480,14.277
34.168,480,1021,238485,559745,0,798230,539000,25,640,480,165700,4.596
645.84,320,16146,1081321,6660941,0,7742262,539000,24,176,144,218932,1.764
385.052,1280,9232,16244376,5023129,0,21267505,56000,29.97,640,480,219480,7.34
326.583,640,8163,1868804,41239444,0,43108248,820000,29.97,1920,1080,215124,6.176
339.667,640,10191,10121223,820261,0,10941484,539000,29.97,1920,1080,219480,14.845
43.827,320,1104,137210,1354404,0,1491614,820000,12,1280,720,218932,3.776
476.957,1280,14305,3487520,79210885,0,82698405,3000000,12,640,480,165696,3.992
448.575,1280,13441,9132637,105950761,0,115083398,56000,24,320,240,217080,4.444
42.2,480,1056,216154,1306770,0,1522924,5000000,15,176,144,216820,1.336
1140.349,1280,34208,20478926,320859863,0,341338789,5000000,12,640,480,219480,28.09
52.68,480,1318,870136,1579497,0,2449633,109000,25,320,240,140080,1.144
395.44,1280,9886,5073258,74605061,0,79678319,109000,25,1920,1080,221160,34.542
286.995,480,6882,2285153,15944803,0,18229956,5000000,15,1920,1080,216820,5.488
290.01666,176,3478,119325,1794184,0,1913509,109000,29.97,1280,720,308884,19.789
391.08,640,9778,9023743,2261252,0,11284995,56000,12,640,480,219480,3.392
98.683334,176,1184,48267,636993,0,685260,242000,25,480,360,217880,2.028
440.967,320,13230,2444863,13079542,0,15524405,242000,15,640,480,219656,3
292.092,480,8755,2375028,15155062,0,17530090,820000,12,1280,720,219480,4.536
391.08,640,9778,9023743,2261252,0,11284995,539000,29.97,176,144,219480,1.804
37.011665,1280,1109,1899633,10866846,0,12766479,820000,15,1920,1080,219480,39.842
270.655,640,8117,1912240,20178890,0,22091130,539000,15,1920,1080,639816,53.731
274.541,480,8228,802625,3994697,0,4797322,3000000,12,480,360,216820,3.204
286.995,480,6882,2285153,15944803,0,18229956,3000000,15,320,240,216820,10.401
440.967,320,13230,2444863,13079542,0,15524405,820000,29.97,176,144,219656,2.26
368.32,640,9208,869558,470067,0,1339625,242000,25,640,480,221152,3.496
42.2,480,1056,216154,1306770,0,1522924,56000,15,176,144,216820,1.436
189.956,320,5694,580292,4911734,0,5492026,820000,25,1920,1080,218664,12.609
473,320,11826,1419320,8047423,0,9697521,539000,25,1280,720,220808,9.473
167.39166,1280,4017,4369420,41819887,0,46189307,820000,15,640,480,219656,10.485
286.995,480,6882,2285153,15944803,0,18229956,56000,15,320,240,216820,2.024
1768.9417,176,21227,1382103,11034284,0,12416387,539000,29.97,480,360,221840,4.46
290.01666,176,3478,119325,1794184,0,1913509,3000000,29.97,1920,1080,136256,3.212
426.945,1280,12795,11297544,45523691,0,56821235,109000,29.97,176,144,219480,3.456
130.35667,176,1564,64483,825054,0,889537,109000,25,640,480,34308,2.36
239.14166,480,5978,1406751,13545526,0,14952277,539000,15,640,480,100852,6.748
177.33333,176,2128,100969,1089548,0,1190517,820000,12,1280,720,163024,3.404
130.35667,176,1564,64483,825054,0,889537,56000,29.97,640,480,134912,7.6
316.95166,176,3803,111850,2082902,0,2194752,242000,15,1280,720,165700,10.917
304.927,320,7623,833754,4286526,0,5120280,242000,25,480,360,216820,0.956
59.883,1280,1793,481774,6965881,0,7447655,820000,12,480,360,155028,4.168
157.891,480,4733,1776729,6254165,0,8030894,56000,12,320,240,219464,2.204
1768.9417,176,21227,1382103,11034284,0,12416387,539000,25,176,144,221236,1.308
440.967,320,13230,2444863,13079542,0,15524405,56000,24,176,144,219656,1.756
286.995,480,6882,2285153,15944803,0,18229956,820000,15,640,480,216820,8.313
42.2,480,1056,216154,1306770,0,1522924,3000000,25,480,360,216820,9.073
326.58832,1920,7830,16603953,228322925,0,244926878,242000,12,176,144,218932,10.425
290.01666,176,3478,119325,1794184,0,1913509,109000,29.97,1920,1080,125668,13.757
77.233,480,2318,182297,3510033,0,3692330,109000,24,1280,720,319748,21.017
