noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,0.8830384016345216,inf,0.0006306044937856815,0.7353801169590644,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha0.5
0.0,0.1,persize,1,0.8830386894293646,inf,9.363303687471272e-05,0.5004873294346979,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha1.0
0.0,0.1,persize,1,0.8830369654380589,inf,0.0001923007492822489,0.14376218323586742,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha3.0
0.0,0.1,persize,1,0.883037149869884,inf,0.00017837493757827473,0.10916179337231968,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha5.0
0.0,0.1,persize,1,0.8830404673235798,inf,4.2861350402425075e-05,0.7022417153996101,0.0,0.0,0.0,ailerons,RegENN01_k9.0_alpha0.5
0.0,0.1,persize,1,0.8830377617490485,inf,0.00021975824381010187,0.4415204678362573,0.0,0.0,0.0,ailerons,RegENN01_k9.0_alpha1.0
0.0,0.1,persize,1,0.8830371275833628,inf,0.0001787588710685295,0.12231968810916183,0.0,0.0,0.0,ailerons,RegENN01_k9.0_alpha3.0
0.0,0.1,persize,1,0.8830373247037856,inf,0.00016847841915700946,0.10233918128654973,0.0,0.0,0.0,ailerons,RegENN01_k9.0_alpha5.0
0.0,0.1,persize,1,0.8830395967014236,inf,6.900832325035578e-05,0.7514619883040936,0.0,0.0,0.0,ailerons,RegENN03_k9.0_alpha0.5
0.0,0.1,persize,1,0.8830366009095147,inf,0.0003479862173398188,0.526803118908382,0.0,0.0,0.0,ailerons,RegENN03_k9.0_alpha1.0
0.0,0.1,persize,1,0.8830369990989358,inf,0.00018815064672654197,0.1471734892787524,0.0,0.0,0.0,ailerons,RegENN03_k9.0_alpha3.0
0.0,0.1,persize,1,0.8830370984120461,inf,0.00018370546626331584,0.10721247563352831,0.0,0.0,0.0,ailerons,RegENN03_k9.0_alpha5.0
0.1,0.1,persize,1,0.8830385834951127,inf,0.0004461269303465053,0.739766081871345,0.1789157855206697,0.7217391304347827,0.10211762984575205,ailerons,RegENN03Wei3_k9.0_alpha0.5
0.1,0.1,persize,1,0.8830378859751072,inf,0.00019260672394178345,0.49951267056530213,0.18059283670186366,0.4929347826086956,0.11055187301419629,ailerons,RegENN03Wei3_k9.0_alpha1.0
0.1,0.1,persize,1,0.883037065738571,inf,0.00018495235610958518,0.14230019493177393,0.10797588411361389,0.08097826086956521,0.16232762598200715,ailerons,RegENN03Wei3_k9.0_alpha3.0
0.1,0.1,persize,1,0.8830372262563367,inf,0.00017374620725267833,0.11062378167641329,0.036389709051575944,0.02010869565217391,0.1981186868686869,ailerons,RegENN03Wei3_k9.0_alpha5.0
0.1,0.1,persize,1,0.8830402856540932,inf,8.826909078723841e-05,0.7080896686159843,0.17905243710361762,0.6842391304347827,0.10300534684654297,ailerons,RegENN01_k9.0_alpha0.5
0.1,0.1,persize,1,0.8830381660084791,inf,0.0001766580879879117,0.4444444444444444,0.17761812770729002,0.4304347826086957,0.11190140812007636,ailerons,RegENN01_k9.0_alpha1.0
0.1,0.1,persize,1,0.8830370639072813,inf,0.0001864081119628055,0.12085769980506822,0.06245075872229985,0.03858695652173914,0.16414572704006475,ailerons,RegENN01_k9.0_alpha3.0
0.1,0.1,persize,1,0.88303738702555,inf,0.0001630554080895937,0.1028265107212476,0.011612716990038971,0.005978260869565218,0.2125,ailerons,RegENN01_k9.0_alpha5.0
0.1,0.1,persize,1,0.883038906448209,inf,0.0002257250679081564,0.7548732943469786,0.1802063414207172,0.7413043478260869,0.10257193962229856,ailerons,RegENN03_k9.0_alpha0.5
0.1,0.1,persize,1,0.8830362814078379,inf,0.0004043976662877876,0.5307017543859649,0.1755181592193768,0.5005434782608695,0.10641954721913258,ailerons,RegENN03_k9.0_alpha1.0
0.1,0.1,persize,1,0.8830368760551166,inf,0.0002029255344382237,0.14278752436647169,0.09448473850239997,0.07282608695652174,0.13481333034070553,ailerons,RegENN03_k9.0_alpha3.0
0.1,0.1,persize,1,0.8830371727041142,inf,0.00017854055518204184,0.10769980506822607,0.02689478880754117,0.01467391304347826,0.16442110177404295,ailerons,RegENN03_k9.0_alpha5.0
0.3,0.1,persize,1,0.883038550995912,inf,0.0003004940018808057,0.7217348927875243,0.4305539826423669,0.7127228572734217,0.30845396569434286,ailerons,RegENN03Wei3_k9.0_alpha0.5
0.3,0.1,persize,1,0.8830379700066263,inf,0.00015322394997152085,0.4941520467836257,0.38686303345207385,0.47580705178840726,0.32596670812736206,ailerons,RegENN03Wei3_k9.0_alpha1.0
0.3,0.1,persize,1,0.8830371096181983,inf,0.00017857893312864126,0.14181286549707606,0.10475644820654058,0.061033679111639184,0.37068420446075157,ailerons,RegENN03Wei3_k9.0_alpha3.0
0.3,0.1,persize,1,0.8830372024917782,inf,0.00017632550886526602,0.11062378167641329,0.025505207744637142,0.013180812241727107,0.41367639378165694,ailerons,RegENN03Wei3_k9.0_alpha5.0
0.3,0.1,persize,1,0.8830400126307603,inf,9.178978155982596e-05,0.6915204678362573,0.42562078438091183,0.6818407635411703,0.3093760728043544,ailerons,RegENN01_k9.0_alpha0.5
0.3,0.1,persize,1,0.8830382568061944,inf,0.00015560086658533595,0.4463937621832359,0.36600502011336256,0.41874514463282003,0.3251239650304246,ailerons,RegENN01_k9.0_alpha1.0
0.3,0.1,persize,1,0.883037183269971,inf,0.000173629342089226,0.12085769980506822,0.053723281396987455,0.028892617230596485,0.3872110941803365,ailerons,RegENN01_k9.0_alpha3.0
0.3,0.1,persize,1,0.8830372737120444,inf,0.00017351264676097544,0.10233918128654973,0.01070300320839943,0.005417447333546589,0.48378787878787877,ailerons,RegENN01_k9.0_alpha5.0
0.3,0.1,persize,1,0.8830378320006316,inf,0.0003621988689443973,0.7412280701754386,0.43626486591730085,0.7358311409378449,0.3100458460502376,ailerons,RegENN03_k9.0_alpha0.5
0.3,0.1,persize,1,0.8830369718048193,inf,0.0002598794984258843,0.5190058479532164,0.3930186532377492,0.49982439075342244,0.3238307048989784,ailerons,RegENN03_k9.0_alpha1.0
0.3,0.1,persize,1,0.88303704672957,inf,0.0001849664703710495,0.15204678362573099,0.11419216783478695,0.06735267428728106,0.37705039673964913,ailerons,RegENN03_k9.0_alpha3.0
0.3,0.1,persize,1,0.8830371484393746,inf,0.00017886956888671363,0.1057504873294347,0.024939125132783686,0.012821107056358163,0.4628574121956476,ailerons,RegENN03_k9.0_alpha5.0
0.5,0.1,persize,1,0.8830389866354782,inf,0.00025165862086670146,0.732943469785575,0.5914849784251055,0.7088840736728061,0.5074873461740397,ailerons,RegENN03Wei3_k9.0_alpha0.5
0.5,0.1,persize,1,0.8830372778959619,inf,0.00025011578379084915,0.49122807017543857,0.48203779523305,0.4528710725893824,0.5152312628993592,ailerons,RegENN03Wei3_k9.0_alpha1.0
0.5,0.1,persize,1,0.883037053797017,inf,0.00018018913501073792,0.1393762183235867,0.10102658202789447,0.05536294691224268,0.580549031335274,ailerons,RegENN03Wei3_k9.0_alpha3.0
0.5,0.1,persize,1,0.8830372350966574,inf,0.00017173639996212527,0.10721247563352831,0.019341296980755162,0.009859154929577464,0.5190007215007214,ailerons,RegENN03Wei3_k9.0_alpha5.0
0.5,0.1,persize,1,0.8830401691190217,inf,6.054280432426151e-05,0.6949317738791423,0.5812945732359635,0.6746478873239437,0.5106474378671162,ailerons,RegENN01_k9.0_alpha0.5
0.5,0.1,persize,1,0.8830380907777537,inf,0.0001803767809914052,0.4498050682261209,0.4599203212026176,0.4088840736728061,0.525608594008954,ailerons,RegENN01_k9.0_alpha1.0
0.5,0.1,persize,1,0.8830372581366395,inf,0.00016511769302345774,0.11695906432748537,0.052476814498091585,0.027410617551462617,0.6210155145121327,ailerons,RegENN01_k9.0_alpha3.0
0.5,0.1,persize,1,0.8830373205952295,inf,0.00016876415641997158,0.10233918128654973,0.009457330952674533,0.004767063921993499,0.6492063492063492,ailerons,RegENN01_k9.0_alpha5.0
0.5,0.1,persize,1,0.8830372037833125,inf,0.0006985610686486102,0.7519493177387915,0.5995798322371579,0.7290357529794149,0.5091877933314702,ailerons,RegENN03_k9.0_alpha0.5
0.5,0.1,persize,1,0.8830371391560584,inf,0.00025237620234356054,0.5209551656920077,0.4990196185145937,0.4798483206933911,0.5198292606790383,ailerons,RegENN03_k9.0_alpha1.0
0.5,0.1,persize,1,0.8830370254537566,inf,0.00018703393169423142,0.1393762183235867,0.10187710291496448,0.05601300108342362,0.5656394161931602,ailerons,RegENN03_k9.0_alpha3.0
0.5,0.1,persize,1,0.8830372475769501,inf,0.00017191808875152413,0.1057504873294347,0.01768302479209156,0.008992416034669555,0.5393337510442773,ailerons,RegENN03_k9.0_alpha5.0
0.0,0.5,persize,1,0.8830388377341931,inf,0.0006169932847764139,0.7285575048732944,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha0.5
0.0,0.5,persize,1,0.8830385073426015,inf,0.00011182278152583866,0.496588693957115,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha1.0
0.0,0.5,persize,1,0.8830370292112332,inf,0.00018380061207382098,0.13547758284600386,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha3.0
0.0,0.5,persize,1,0.8830371817720494,inf,0.00017623113228180018,0.10769980506822607,0.0,0.0,0.0,ailerons,RegENN03Wei3_k9.0_alpha5.0
0.0,0.5,persize,1,0.8830404673235798,inf,4.2861350402425075e-05,0.7022417153996101,0.0,0.0,0.0,ailerons,RegENN01_k9.0_alpha0.5
