noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,0.3156851552451874,0.003803769910140937,0.00011353164443384046,0.7785547785547786,0.0,0.0,0.0,data,RegENN03Wei3_k9.0_alpha0.5
0.0,0.1,persize,1,0.3156853258238047,0.0038246304746527935,0.00010560422018764098,0.5497280497280497,0.0,0.0,0.0,data,RegENN03Wei3_k9.0_alpha1.0
0.0,0.1,persize,1,0.315580659674856,0.0036047500803266306,0.0011687324672550257,0.14335664335664333,0.0,0.0,0.0,data,RegENN03Wei3_k9.0_alpha3.0
0.0,0.1,persize,1,0.3156143686544725,0.0036610192928094106,0.0007132014560322702,0.11227661227661223,0.0,0.0,0.0,data,RegENN03Wei3_k9.0_alpha5.0
0.0,0.1,persize,1,0.31572675350426205,0.00380701183667289,2.877254459892667e-06,0.6390831390831391,0.0,0.0,0.0,data,RegENN01_k9.0_alpha0.5
0.0,0.1,persize,1,0.31570390448064306,0.0038329836963304988,3.8015434331091764e-05,0.40831390831390835,0.0,0.0,0.0,data,RegENN01_k9.0_alpha1.0
0.0,0.1,persize,1,0.31562116550960134,0.003632629169235624,0.0006329962872887586,0.10217560217560218,0.0,0.0,0.0,data,RegENN01_k9.0_alpha3.0
0.0,0.1,persize,1,0.31563303063027215,0.0036554368453213756,0.0005056547343354331,0.10023310023310028,0.0,0.0,0.0,data,RegENN01_k9.0_alpha5.0
0.0,0.1,persize,1,0.3157077314814217,0.003813629494055418,2.6324564680280793e-05,0.7571872571872572,0.0,0.0,0.0,data,RegENN03_k9.0_alpha0.5
0.0,0.1,persize,1,0.31566007196298984,0.003880568703451829,0.00026239142426903977,0.534965034965035,0.0,0.0,0.0,data,RegENN03_k9.0_alpha1.0
0.0,0.1,persize,1,0.31563342455958987,0.003653357522337973,0.0005060893723700994,0.12432012432012429,0.0,0.0,0.0,data,RegENN03_k9.0_alpha3.0
0.0,0.1,persize,1,0.3156192216603703,0.003642344807827981,0.0006600296273106721,0.10023310023310028,0.0,0.0,0.0,data,RegENN03_k9.0_alpha5.0
0.1,0.1,persize,1,0.3156384938465134,0.003497508631701018,0.00043891717485516283,0.6243201243201244,0.28939062714867714,1.0,0.16918320440136997,data,RegENN03Wei3_k9.0_alpha0.5
0.1,0.1,persize,1,0.31566123477140107,0.003632072558907538,0.0002447102193543066,0.34421134421134425,0.5449667121523414,0.996103896103896,0.3753445616449483,data,RegENN03Wei3_k9.0_alpha1.0
0.1,0.1,persize,1,0.3151125363891296,0.004420631818052707,0.010746016822717848,0.19774669774669773,0.8434663580384507,0.8415584415584416,0.8460682718845449,data,RegENN03Wei3_k9.0_alpha3.0
0.1,0.1,persize,1,0.3151098899477988,0.005614639203566995,0.008258042888614295,0.16550116550116545,0.719541531296074,0.6,0.9007470901448112,data,RegENN03Wei3_k9.0_alpha5.0
0.1,0.1,persize,1,0.315679369315892,0.0035730765045070465,0.0001275068050153318,0.5167055167055168,0.3491457334819053,1.0,0.21150889252531532,data,RegENN01_k9.0_alpha0.5
0.1,0.1,persize,1,0.3156506513473095,0.003724345993084435,0.0003299730791012183,0.35275835275835277,0.5145169878526236,1.0,0.3464123576968495,data,RegENN01_k9.0_alpha1.0
0.1,0.1,persize,1,0.31513905470835524,0.0053390393721868875,0.008102850268804954,0.16472416472416473,0.7693554212750289,0.638095238095238,0.9709634460911468,data,RegENN01_k9.0_alpha3.0
0.1,0.1,persize,1,0.3149701279048635,0.0055742541951891485,0.016149819361688175,0.1418026418026418,0.5943115070133218,0.425974025974026,0.9887007117443691,data,RegENN01_k9.0_alpha5.0
0.1,0.1,persize,1,0.3156266849340963,0.003508230311950454,0.000537309485980869,0.6297591297591297,0.2870165463515832,1.0,0.16756042422373268,data,RegENN03_k9.0_alpha0.5
0.1,0.1,persize,1,0.3156367911172869,0.003607868900910674,0.0004565101473924662,0.2707847707847708,0.7006342128305573,1.0,0.5394103922737968,data,RegENN03_k9.0_alpha1.0
0.1,0.1,persize,1,0.31496407138894533,0.004365033624638864,0.016158830836052,0.18609168609168614,0.9037706304318667,0.8523809523809524,0.9626255448212742,data,RegENN03_k9.0_alpha3.0
0.1,0.1,persize,1,0.31518042075823977,0.005567370256092461,0.0073877462257679405,0.1534576534576535,0.7298389893153587,0.5774891774891774,0.9931844127585782,data,RegENN03_k9.0_alpha5.0
0.3,0.1,persize,1,0.31570653526876785,0.0033326522461632523,4.335893946195134e-05,0.6083916083916083,0.688705132465923,0.9997122302158274,0.5253421339588236,data,RegENN03Wei3_k9.0_alpha0.5
0.3,0.1,persize,1,0.3169462603964761,0.004329639398934821,0.02643602592955348,0.4075369075369075,0.9107217624219681,0.972647772272096,0.8562478926623959,data,RegENN03Wei3_k9.0_alpha1.0
0.3,0.1,persize,1,0.3156482422707215,0.008090635303927554,0.0003765495689394864,0.2125097125097125,0.5686883218591445,0.4003806522505339,0.9823410427181859,data,RegENN03Wei3_k9.0_alpha3.0
0.3,0.1,persize,1,0.31572553140064147,0.008181243495110117,0.00014049071754898215,0.14491064491064487,0.28648299125927834,0.16800862480044781,0.9787700131572015,data,RegENN03Wei3_k9.0_alpha5.0
0.3,0.1,persize,1,0.3157092263332206,0.003488560418482118,2.8577823372079113e-05,0.5586635586635587,0.7398615669524418,1.0,0.587171725825775,data,RegENN01_k9.0_alpha0.5
0.3,0.1,persize,1,0.3156530347306028,0.003746099777925699,0.00033596548590367366,0.41608391608391604,0.9131622438443202,0.9943855866315593,0.8442345386511774,data,RegENN01_k9.0_alpha1.0
0.3,0.1,persize,1,0.3158900884029031,0.008250631374628822,1.3285925821256218e-05,0.13947163947163943,0.2654355811151791,0.1533280119420314,0.9915957520336667,data,RegENN01_k9.0_alpha3.0
0.3,0.1,persize,1,0.31603803334073866,0.007913766814554574,0.00043606818320652104,0.10955710955710951,0.08477982213599193,0.04434142599465096,0.983730119825708,data,RegENN01_k9.0_alpha5.0
0.3,0.1,persize,1,0.3157045041128996,0.0033426024724193897,4.750440438222581e-05,0.5831390831390831,0.7098841635910698,0.9998559077809798,0.5503260023876557,data,RegENN03_k9.0_alpha0.5
0.3,0.1,persize,1,0.3164545910219012,0.0038948214922779893,0.014972849215091642,0.3768453768453769,0.9798062800450562,0.988337859971389,0.9714428151419441,data,RegENN03_k9.0_alpha1.0
0.3,0.1,persize,1,0.31595542968898294,0.008617554216023315,5.452565533834509e-05,0.1961926961926962,0.5017059118925047,0.33529450790952253,0.997890422258339,data,RegENN03_k9.0_alpha3.0
0.3,0.1,persize,1,0.3160101437604123,0.007930034291872067,0.0003098937990010314,0.12315462315462311,0.17668466290849882,0.09703688346153048,0.9922527338088873,data,RegENN03_k9.0_alpha5.0
0.5,0.1,persize,1,0.31569260810646305,0.003495904383280016,9.589037669409495e-05,0.6872571872571873,0.8719055131527954,0.9978411053540587,0.7742646614280921,data,RegENN03Wei3_k9.0_alpha0.5
0.5,0.1,persize,1,0.3170683387098952,0.008791656354149208,0.006687780433340419,0.5205905205905206,0.9204999567110779,0.8933506044905009,0.9494303769891449,data,RegENN03Wei3_k9.0_alpha1.0
0.5,0.1,persize,1,0.31639315543996865,0.011001517211236567,0.0008294968057069351,0.1631701631701632,0.24388509831826558,0.13929188255613129,0.9838041714418375,data,RegENN03Wei3_k9.0_alpha3.0
0.5,0.1,persize,1,0.3159727867672702,0.010650047795523997,1.4425778164615005e-07,0.12354312354312358,0.0935010691406882,0.04913644214162349,0.9722692697976314,data,RegENN03Wei3_k9.0_alpha5.0
0.5,0.1,persize,1,0.31555852323163697,0.0034852671770007615,0.0014091008284699551,0.6554001554001554,0.8893861004477124,0.9997409326424871,0.8010314812201795,data,RegENN01_k9.0_alpha0.5
0.5,0.1,persize,1,0.317116441624593,0.007310743248867661,0.007512291664848562,0.5388500388500388,0.9471098776711736,0.9412780656303973,0.9530347756272037,data,RegENN01_k9.0_alpha1.0
0.5,0.1,persize,1,0.31607422020800613,0.010673220584328607,5.488048765128181e-05,0.10994560994560998,0.04746858504168326,0.024352331606217616,0.9659137349341524,data,RegENN01_k9.0_alpha3.0
0.5,0.1,persize,1,0.3160249932570779,0.010334278276261275,2.7628603576087955e-05,0.10062160062160064,0.003439979501559251,0.0017271157167530222,0.48238095238095247,data,RegENN01_k9.0_alpha5.0
0.5,0.1,persize,1,0.31569729608388336,0.0035847912717954407,7.169210062191133e-05,0.6546231546231547,0.89204938169936,0.9988773747841104,0.8059227975775334,data,RegENN03_k9.0_alpha0.5
0.5,0.1,persize,1,0.31649729420310957,0.007965094092315238,0.001971817394837051,0.520979020979021,0.9489783218316804,0.9196891191709845,0.9802357384458809,data,RegENN03_k9.0_alpha1.0
