noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,8.367619754860254,0.8817002814036642,0.7147738901297757,0.753294289897511,0.0,0.0,0.0,transcoding,RegENN03Wei3_k9.0_alpha0.5
0.0,0.1,persize,1,8.10955530083369,0.8246443813022409,0.7351442501892762,0.50201317715959,0.0,0.0,0.0,transcoding,RegENN03Wei3_k9.0_alpha1.0
0.0,0.1,persize,1,7.26032867088281,0.8662528432396668,0.7805544709726834,0.15098828696925326,0.0,0.0,0.0,transcoding,RegENN03Wei3_k9.0_alpha3.0
0.0,0.1,persize,1,7.117195181741649,0.9120734401823009,0.7887515220110374,0.11566617862371886,0.0,0.0,0.0,transcoding,RegENN03Wei3_k9.0_alpha5.0
0.0,0.1,persize,1,8.51031701882968,0.8978509905972076,0.7122699703425602,0.7371888726207907,0.0,0.0,0.0,transcoding,RegENN01_k9.0_alpha0.5
0.0,0.1,persize,1,8.550553724337336,0.7808997118049438,0.7084742937324983,0.49194729136163984,0.0,0.0,0.0,transcoding,RegENN01_k9.0_alpha1.0
0.0,0.1,persize,1,7.273984655680803,0.8579310156555234,0.7799328534950692,0.13488286969253294,0.0,0.0,0.0,transcoding,RegENN01_k9.0_alpha3.0
0.0,0.1,persize,1,7.119943213265354,0.9103839506862806,0.7885533666526583,0.10797950219619323,0.0,0.0,0.0,transcoding,RegENN01_k9.0_alpha5.0
0.0,0.1,persize,1,8.431582130395235,0.8988137841438516,0.7103542510389752,0.7465226939970717,0.0,0.0,0.0,transcoding,RegENN03_k9.0_alpha0.5
0.0,0.1,persize,1,8.449656317829813,0.8305605473446347,0.7126485241370802,0.48975109809663253,0.0,0.0,0.0,transcoding,RegENN03_k9.0_alpha1.0
0.0,0.1,persize,1,7.334197918654926,0.8620790710054621,0.7765348157128789,0.1367130307467057,0.0,0.0,0.0,transcoding,RegENN03_k9.0_alpha3.0
0.0,0.1,persize,1,7.081518455636505,0.9180236594351476,0.7908199565954577,0.10395314787701315,0.0,0.0,0.0,transcoding,RegENN03_k9.0_alpha5.0
0.1,0.1,persize,1,8.356881374055916,0.88034725277958,0.714479295172122,0.7554904831625183,0.17755854152743503,0.735437881873727,0.10096803279008264,transcoding,RegENN03Wei3_k9.0_alpha0.5
0.1,0.1,persize,1,8.070021619409601,0.8254241897524233,0.7373266318066525,0.4994509516837482,0.16578596301753662,0.45010183299388995,0.10160590573492578,transcoding,RegENN03Wei3_k9.0_alpha1.0
0.1,0.1,persize,1,7.197267412706064,0.8650852998168577,0.7843188270846819,0.150805270863836,0.06951797316174335,0.053767820773930754,0.09845572626424821,transcoding,RegENN03Wei3_k9.0_alpha3.0
0.1,0.1,persize,1,7.0783105323936955,0.9131875795148012,0.7910915380256641,0.114385065885798,0.02858117922528487,0.016700610997963338,0.09977224069039536,transcoding,RegENN03Wei3_k9.0_alpha5.0
0.1,0.1,persize,1,8.534052705393098,0.8987937129512248,0.7109379172007205,0.737371888726208,0.17892540743705013,0.7293279022403258,0.1019712458000239,transcoding,RegENN01_k9.0_alpha0.5
0.1,0.1,persize,1,8.498161458761347,0.7795199233572052,0.7127577061669869,0.4921303074670571,0.16772614562494964,0.4480651731160896,0.10317581410323647,transcoding,RegENN01_k9.0_alpha1.0
0.1,0.1,persize,1,7.20295835519421,0.8589984116131918,0.7841529751100584,0.13415080527086387,0.053807851974336504,0.03747454175152749,0.09541704609658574,transcoding,RegENN01_k9.0_alpha3.0
0.1,0.1,persize,1,7.099598657646217,0.9111085688977285,0.7897646245544202,0.1081625183016105,0.017863779518862838,0.009775967413441956,0.10445729983419569,transcoding,RegENN01_k9.0_alpha5.0
0.1,0.1,persize,1,8.455809788045075,0.8999084810779308,0.7091921676397971,0.7481698389458272,0.1760492725083763,0.7224032586558045,0.10023892806047392,transcoding,RegENN03_k9.0_alpha0.5
0.1,0.1,persize,1,8.45661655958627,0.8306488153002753,0.7114119861168428,0.4875549048316252,0.1651583005766442,0.4393075356415478,0.10169726216831423,transcoding,RegENN03_k9.0_alpha1.0
0.1,0.1,persize,1,7.279443456024236,0.8633341443177824,0.7799733026101114,0.13634699853587118,0.05694838156803779,0.03971486761710795,0.1007060748382469,transcoding,RegENN03_k9.0_alpha3.0
0.1,0.1,persize,1,7.115599820473774,0.921140348029666,0.7888056387954858,0.10431918008784768,0.009615723419445343,0.0050916496945010185,0.08928667728602438,transcoding,RegENN03_k9.0_alpha5.0
0.3,0.1,persize,1,8.344594409563804,0.8822495703502525,0.7171691692023605,0.7554904831625183,0.4276813939727674,0.7310508474576272,0.30225741139737494,transcoding,RegENN03Wei3_k9.0_alpha0.5
0.3,0.1,persize,1,8.146189959157724,0.8279397541403769,0.7303079671647773,0.5023792093704246,0.3629258339307454,0.45016949152542374,0.30401807911047046,transcoding,RegENN03Wei3_k9.0_alpha1.0
0.3,0.1,persize,1,7.15411929571764,0.8633675565113438,0.786917668105062,0.1513543191800878,0.09966885179878526,0.059118644067796614,0.31777108319590575,transcoding,RegENN03Wei3_k9.0_alpha3.0
0.3,0.1,persize,1,7.088159529550939,0.9137330209155665,0.7904591885460669,0.11639824304538804,0.03221416140407278,0.017016949152542375,0.3041594319274755,transcoding,RegENN03Wei3_k9.0_alpha5.0
0.3,0.1,persize,1,8.46576698905444,0.9021993576427402,0.7170563154851566,0.7390190336749634,0.4289209953531786,0.7259661016949152,0.30438046960660187,transcoding,RegENN01_k9.0_alpha0.5
0.3,0.1,persize,1,8.498894742253114,0.7739249118366848,0.7146513555303202,0.4910322108345534,0.3628283893351024,0.44325423728813557,0.3071193104182848,transcoding,RegENN01_k9.0_alpha1.0
0.3,0.1,persize,1,7.167390523920664,0.8560916427406527,0.7862491111128544,0.135614934114202,0.07412339883212812,0.041966101694915256,0.3174762944113946,transcoding,RegENN01_k9.0_alpha3.0
0.3,0.1,persize,1,7.102552543338562,0.9079312024994457,0.7896492272941852,0.10889458272327968,0.020378413610800013,0.010508474576271187,0.3373962347436813,transcoding,RegENN01_k9.0_alpha5.0
0.3,0.1,persize,1,8.407597374197428,0.9019466222443243,0.7131901350663588,0.7452415812591509,0.4297718052618225,0.7315254237288136,0.3042660831638355,transcoding,RegENN03_k9.0_alpha0.5
0.3,0.1,persize,1,8.344514247457946,0.8289415622864703,0.7204280074217622,0.48901903367496335,0.3603379181336193,0.4398644067796611,0.3051749778833436,transcoding,RegENN03_k9.0_alpha1.0
0.3,0.1,persize,1,7.222647204188229,0.8616231723307491,0.7831365216744305,0.13799414348462669,0.07434310664361084,0.04203389830508474,0.3217634283334606,transcoding,RegENN03_k9.0_alpha3.0
0.3,0.1,persize,1,7.098458058923028,0.9214690353277657,0.7898197133732351,0.10560029282576866,0.014495198400945545,0.007389830508474577,0.3820173225253664,transcoding,RegENN03_k9.0_alpha5.0
0.5,0.1,persize,1,8.355265392671965,0.8826160946637671,0.7158526881277857,0.7545754026354319,0.5922453580969462,0.7259005211919748,0.5001611264004912,transcoding,RegENN03Wei3_k9.0_alpha0.5
0.5,0.1,persize,1,8.179613725796939,0.8208092202506989,0.7302797068591388,0.5045754026354319,0.4733185637301758,0.4462706035615501,0.5038798700283833,transcoding,RegENN03Wei3_k9.0_alpha1.0
0.5,0.1,persize,1,7.2048245501980315,0.8680202117739872,0.783927243141345,0.150805270863836,0.10048208754062767,0.055763405116489764,0.5081826315355928,transcoding,RegENN03Wei3_k9.0_alpha3.0
0.5,0.1,persize,1,7.080381940082026,0.9130485626509415,0.7908922876120513,0.11694729136163984,0.031020455235691406,0.016025321373040236,0.4874084733626235,transcoding,RegENN03Wei3_k9.0_alpha5.0
0.5,0.1,persize,1,8.570278664566857,0.901942115286874,0.7129729598520318,0.7430453879941434,0.5890468011895467,0.7158951309200753,0.5003864366441826,transcoding,RegENN01_k9.0_alpha0.5
0.5,0.1,persize,1,8.368521497920389,0.7772213431632351,0.7240657375323314,0.4937774524158126,0.4676816740186827,0.43675184333070494,0.5033467083804346,transcoding,RegENN01_k9.0_alpha1.0
0.5,0.1,persize,1,7.203444422345264,0.8573564150275867,0.784144452856863,0.13323572474377743,0.07045424806735975,0.03794825868407877,0.49203830053830766,transcoding,RegENN01_k9.0_alpha3.0
0.5,0.1,persize,1,7.137288550884304,0.9061451648228422,0.7875482189015259,0.1081625183016105,0.019558005343300655,0.009964888781384932,0.5306962863491,transcoding,RegENN01_k9.0_alpha5.0
0.5,0.1,persize,1,8.519018001647115,0.9047479146324727,0.7013530787468841,0.7456076134699854,0.5908340879981304,0.7205315919898376,0.5007078587146448,transcoding,RegENN03_k9.0_alpha0.5
0.5,0.1,persize,1,8.324727891899208,0.8274734632826192,0.720649478117425,0.4950585651537335,0.46347270011234354,0.4320343461904609,0.49988204641621037,transcoding,RegENN03_k9.0_alpha1.0
