noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,2.8176324168476055,0.08482529720349911,0.8697170674815684,0.13265306122448983,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins2
0.0,0.1,persize,1,2.9957840229154353,0.0889578442508403,0.8547516074339763,0.2091836734693877,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins3
0.0,0.1,persize,1,2.888970784496128,0.08702070779211157,0.8628246624501662,0.2729591836734694,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins4
0.0,0.1,persize,1,3.051099165966189,0.0886045001113461,0.8474157284234402,0.2857142857142857,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins5
0.1,0.1,persize,1,2.8296160907515024,0.08467610773264063,0.8687816600042692,0.1428571428571429,0.09042176685185803,0.06285714285714286,0.1632299073475544,autoMPG8,DiscENN_k9_bins2
0.1,0.1,persize,1,2.9783597584957464,0.08826939647367378,0.8560083285623894,0.20663265306122447,0.12216877969709417,0.13428571428571429,0.11224169699779456,autoMPG8,DiscENN_k9_bins3
0.1,0.1,persize,1,2.8962056373234697,0.08574556863342965,0.8625144121364151,0.2908163265306123,0.1705060027988154,0.24857142857142858,0.12990871425626793,autoMPG8,DiscENN_k9_bins4
0.1,0.1,persize,1,3.0603339890229253,0.08878487095729114,0.8466225347181768,0.3112244897959183,0.18569251282123317,0.3342857142857143,0.12873496956071057,autoMPG8,DiscENN_k9_bins5
0.3,0.1,persize,1,2.9267685353961332,0.08834728072846934,0.863108826883173,0.12755102040816324,0.09427052030476704,0.054285714285714284,0.3772925685425686,autoMPG8,DiscENN_k9_bins2
0.3,0.1,persize,1,3.0102750748239733,0.08997765621498177,0.8549039261977428,0.2091836734693877,0.21248881583071516,0.14857142857142858,0.37503186133033267,autoMPG8,DiscENN_k9_bins3
0.3,0.1,persize,1,2.908032554100195,0.08848801036923033,0.8625482083872656,0.27040816326530615,0.32366692835147837,0.26857142857142857,0.40961036183092353,autoMPG8,DiscENN_k9_bins4
0.3,0.1,persize,1,2.896044511807373,0.08797713135998445,0.862850159932491,0.3035714285714286,0.33919520032679445,0.3276190476190476,0.3530529392016888,autoMPG8,DiscENN_k9_bins5
0.5,0.1,persize,1,2.889382107412697,0.08960145449479112,0.8645726067720487,0.1607142857142857,0.10167400874040351,0.055681818181818186,0.625984077841663,autoMPG8,DiscENN_k9_bins2
0.5,0.1,persize,1,3.171989732489603,0.09843737501780972,0.8414916140572769,0.24744897959183676,0.24942481966721392,0.16136363636363638,0.5560390564951442,autoMPG8,DiscENN_k9_bins3
0.5,0.1,persize,1,2.987886930517731,0.0921591418406921,0.8538768132462845,0.33163265306122447,0.35848349311411154,0.2602272727272727,0.579693988091434,autoMPG8,DiscENN_k9_bins4
0.5,0.1,persize,1,3.079709559090492,0.09310100756413632,0.8447945978892576,0.3571428571428571,0.43392098176133426,0.35284090909090915,0.5646269104512263,autoMPG8,DiscENN_k9_bins5
0.0,0.5,persize,1,2.8176324168476055,0.08482529720349911,0.8697170674815684,0.13265306122448983,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins2
0.0,0.5,persize,1,2.9957840229154353,0.0889578442508403,0.8547516074339763,0.2091836734693877,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins3
0.0,0.5,persize,1,2.888970784496128,0.08702070779211157,0.8628246624501662,0.2729591836734694,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins4
0.0,0.5,persize,1,3.051099165966189,0.0886045001113461,0.8474157284234402,0.2857142857142857,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins5
0.1,0.5,persize,1,3.171071830846419,0.09222133020849381,0.8449288586909643,0.11989795918367352,0.09564578067362901,0.06857142857142857,0.1673991256421597,autoMPG8,DiscENN_k9_bins2
0.1,0.5,persize,1,3.345000702121217,0.09848009325294585,0.8351703249360181,0.22193877551020413,0.30372589448739284,0.35428571428571426,0.26643524065387536,autoMPG8,DiscENN_k9_bins3
0.1,0.5,persize,1,3.0163591556332885,0.0923398289780247,0.8585200220292627,0.3137755102040817,0.38182627531536456,0.5742857142857142,0.2882531314014775,autoMPG8,DiscENN_k9_bins4
0.1,0.5,persize,1,3.3745427963139347,0.09583525106382358,0.8245895593380176,0.2908163265306123,0.36996795015097567,0.7142857142857142,0.2510172179217614,autoMPG8,DiscENN_k9_bins5
0.3,0.5,persize,1,3.993379340273386,0.12637926663833712,0.7810351763842776,0.13010204081632648,0.04429996715128866,0.024761904761904763,0.3527259436469963,autoMPG8,DiscENN_k9_bins2
0.3,0.5,persize,1,4.578458294639011,0.14261464759276235,0.7725428957774275,0.2678571428571429,0.45887301140591286,0.3771428571428571,0.5877199823989592,autoMPG8,DiscENN_k9_bins3
0.3,0.5,persize,1,3.9132595800332113,0.11952765235346316,0.8061505111392779,0.3801020408163265,0.617400527263176,0.6333333333333333,0.6037221242246719,autoMPG8,DiscENN_k9_bins4
0.3,0.5,persize,1,3.6278464940361506,0.1124204043349201,0.8110599280705069,0.42602040816326525,0.687702651482097,0.7657142857142857,0.6249465719722885,autoMPG8,DiscENN_k9_bins5
0.5,0.5,persize,1,5.011511907412086,0.15760629992305855,0.7099470582058187,0.17091836734693877,0.08355101772985052,0.047159090909090914,0.3942410225044757,autoMPG8,DiscENN_k9_bins2
0.5,0.5,persize,1,5.846982414413222,0.18415873805987865,0.6995462725463343,0.3877551020408163,0.4588615737900926,0.3647727272727273,0.6241296032685398,autoMPG8,DiscENN_k9_bins3
0.5,0.5,persize,1,5.25596288621168,0.16073338502709744,0.7183795573105553,0.5535714285714286,0.60567647483452,0.577840909090909,0.6385713027119335,autoMPG8,DiscENN_k9_bins4
0.5,0.5,persize,1,5.52466277123799,0.17576095052061547,0.6953847158330312,0.6352040816326531,0.6707476190939612,0.6954545454545454,0.6494363181635603,autoMPG8,DiscENN_k9_bins5
0.0,1.0,persize,1,2.8176324168476055,0.08482529720349911,0.8697170674815684,0.13265306122448983,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins2
0.0,1.0,persize,1,2.9957840229154353,0.0889578442508403,0.8547516074339763,0.2091836734693877,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins3
0.0,1.0,persize,1,2.888970784496128,0.08702070779211157,0.8628246624501662,0.2729591836734694,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins4
0.0,1.0,persize,1,3.051099165966189,0.0886045001113461,0.8474157284234402,0.2857142857142857,0.0,0.0,0.0,autoMPG8,DiscENN_k9_bins5
