noise_perc,noise_magn,noise_type,filter,RMSE,MAPE,R2,F1,REC,PRE,POR,DATA,ALG
0.0,0.1,persize,1,1.4005296810505197,0.024591814649402008,0.9918069588460183,0.1124922311995028,0.0,0.0,0.0,wankara,DiscENN_k9_bins2
0.0,0.1,persize,1,1.3998190965965567,0.024475705631524954,0.9918068013358862,0.1317588564325668,0.0,0.0,0.0,wankara,DiscENN_k9_bins3
0.0,0.1,persize,1,1.4201951992846467,0.024807585610177076,0.9915667918480568,0.15599751398384087,0.0,0.0,0.0,wankara,DiscENN_k9_bins4
0.0,0.1,persize,1,1.3859948507798263,0.0245762957783249,0.9919675293500027,0.19888129272840271,0.0,0.0,0.0,wankara,DiscENN_k9_bins5
0.0,0.1,persize,1,1.4752262335193516,0.026353286537269344,0.990933087561897,0.34866376631448104,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.05
0.0,0.1,persize,1,1.5310501905390939,0.02749968297222603,0.9902287287138741,0.4798011187072716,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.1
0.0,0.1,persize,1,1.7536449885553658,0.03198880430590584,0.987199607600565,0.7855811062771908,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.2
0.0,0.1,persize,1,2.1009576386115563,0.03837616014363611,0.9820529573407044,0.9185829707893102,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.3
0.1,0.1,persize,1,1.4834936777126053,0.025842570598850947,0.9908143925251591,0.11559975139838408,0.07188602245593143,0.043055555555555555,0.21907132518019617,wankara,DiscENN_k9_bins2
0.1,0.1,persize,1,1.4721679260113336,0.025399514945787783,0.9910050798794933,0.14978247358607832,0.19881679315837028,0.15277777777777776,0.2852729777725388,wankara,DiscENN_k9_bins3
0.1,0.1,persize,1,1.5020910745345941,0.026088194779191748,0.9906005581456342,0.1789931634555625,0.2456937929966953,0.23125,0.2624983199139212,wankara,DiscENN_k9_bins4
0.1,0.1,persize,1,1.495294083843296,0.02603699585154032,0.990643846403979,0.19390926041019263,0.28277345900070083,0.30000000000000004,0.2677596151425324,wankara,DiscENN_k9_bins5
0.1,0.1,persize,1,1.6006850477350112,0.028272822451607584,0.9893206072191411,0.3983840894965818,0.1506087749141107,0.33194444444444443,0.09743901799579271,wankara,DISKR_k9.0_alpha0.05
0.1,0.1,persize,1,1.6542218153021413,0.029478224601548145,0.9885907639184239,0.5736482287134866,0.16691645014751105,0.51875,0.0994832977166418,wankara,DISKR_k9.0_alpha0.1
0.1,0.1,persize,1,2.0108081540082976,0.03675888158088074,0.9831907198203039,0.8464885021752642,0.17840366417041414,0.8215277777777776,0.10006864388176288,wankara,DISKR_k9.0_alpha0.2
0.1,0.1,persize,1,2.4256816660856266,0.0449547279850237,0.9758375265946305,0.927905531385954,0.17945799234813406,0.9243055555555555,0.09937669418015489,wankara,DISKR_k9.0_alpha0.3
0.3,0.1,persize,1,1.6885261466553443,0.02887291938749521,0.9880736501400493,0.12181479179614663,0.07249180944846377,0.03940092165898618,0.45679581304581307,wankara,DiscENN_k9_bins2
0.3,0.1,persize,1,1.7205142211118647,0.029272425614671756,0.9878931573515862,0.17650714729645745,0.2543248412367944,0.16175115207373272,0.5994892062703868,wankara,DiscENN_k9_bins3
0.3,0.1,persize,1,1.8458291663372612,0.03072023512103646,0.9858366094816547,0.21379738968303297,0.30936809986287106,0.2214285714285714,0.5135833351009604,wankara,DiscENN_k9_bins4
0.3,0.1,persize,1,1.795867524875477,0.030178843478351952,0.9864995843829262,0.2336855189558732,0.37061283229663905,0.2852534562211982,0.5303872205501066,wankara,DiscENN_k9_bins5
0.3,0.1,persize,1,1.8025924895770382,0.03184689151336165,0.9864200133915202,0.49658172778123055,0.3549720291895627,0.42718894009216585,0.3042439204902377,wankara,DISKR_k9.0_alpha0.05
0.3,0.1,persize,1,1.9297758367768545,0.03443980087086021,0.984451067302794,0.6960845245494096,0.4035732076428581,0.6370967741935484,0.29543098339326745,wankara,DISKR_k9.0_alpha0.1
0.3,0.1,persize,1,2.438652691942503,0.04476513334040326,0.9752282287762267,0.9049098819142325,0.44456642686334813,0.8806451612903226,0.29734413629588535,wankara,DISKR_k9.0_alpha0.2
0.3,0.1,persize,1,3.133217319391397,0.05862674765716474,0.9597989762571457,0.9645742697327533,0.4540519342849806,0.9502304147465438,0.2982962748310123,wankara,DISKR_k9.0_alpha0.3
0.5,0.1,persize,1,1.8214667344571105,0.03080899777345245,0.9862171468186967,0.12057178371659416,0.07208536655947188,0.03798342541436464,0.7217789102880381,wankara,DiscENN_k9_bins2
0.5,0.1,persize,1,1.9483385313696273,0.03199409446825694,0.984708421197618,0.20820385332504665,0.26757429914271,0.16519337016574587,0.7064329549371543,wankara,DiscENN_k9_bins3
0.5,0.1,persize,1,2.0442556554041045,0.0338266858408746,0.9826328086231003,0.23306401491609696,0.32712042117427875,0.21284530386740333,0.7069430632119162,wankara,DiscENN_k9_bins4
0.5,0.1,persize,1,2.0302413906138654,0.032715108770778704,0.9827774059994197,0.2579241765071473,0.3968383226526936,0.27486187845303867,0.7157393137627344,wankara,DiscENN_k9_bins5
0.5,0.1,persize,1,2.0059195160778014,0.03486745984499054,0.9832337210334915,0.4972032318210068,0.47314025213427124,0.4498618784530386,0.4994030267858798,wankara,DISKR_k9.0_alpha0.05
0.5,0.1,persize,1,2.2333367974748275,0.0392085109590567,0.979108933449552,0.7315102548166563,0.5800507387133005,0.6990331491712708,0.4958418917808835,wankara,DISKR_k9.0_alpha0.1
0.5,0.1,persize,1,2.7402780825313098,0.048077431467318285,0.9687843653076823,0.9036668738346799,0.6445655655670024,0.9085635359116022,0.49945850715736195,wankara,DISKR_k9.0_alpha0.2
0.5,0.1,persize,1,3.3715368254077136,0.060358991546256235,0.9531547325258316,0.9633312616532007,0.656765748004947,0.9622928176795581,0.49849574862165424,wankara,DISKR_k9.0_alpha0.3
0.0,0.5,persize,1,1.4005296810505197,0.024591814649402008,0.9918069588460183,0.1124922311995028,0.0,0.0,0.0,wankara,DiscENN_k9_bins2
0.0,0.5,persize,1,1.3998190965965567,0.024475705631524954,0.9918068013358862,0.1317588564325668,0.0,0.0,0.0,wankara,DiscENN_k9_bins3
0.0,0.5,persize,1,1.4201951992846467,0.024807585610177076,0.9915667918480568,0.15599751398384087,0.0,0.0,0.0,wankara,DiscENN_k9_bins4
0.0,0.5,persize,1,1.3859948507798263,0.0245762957783249,0.9919675293500027,0.19888129272840271,0.0,0.0,0.0,wankara,DiscENN_k9_bins5
0.0,0.5,persize,1,1.4752262335193516,0.026353286537269344,0.990933087561897,0.34866376631448104,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.05
0.0,0.5,persize,1,1.5310501905390939,0.02749968297222603,0.9902287287138741,0.4798011187072716,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.1
0.0,0.5,persize,1,1.7536449885553658,0.03198880430590584,0.987199607600565,0.7855811062771908,0.0,0.0,0.0,wankara,DISKR_k9.0_alpha0.2
